traveller_id,wt_css_o,wt_css_d,cs_duration,walking_duration,public_duration,bicycling_duration,driving_duration,cs_distance,walking_distance,public_distance,bicycling_distance,driving_distance
t486,5 mins,7 mins,19 mins,1 hour 17 mins,25 mins,21 mins,16 mins,6.6 km,5.5 km,8.4 km,6.3 km,6.3 km
t487,6 mins,2 mins,9 mins,46 mins,9 mins,13 mins,11 mins,3.9 km,3.4 km,4.1 km,3.8 km,4.0 km
t488,5 mins,7 mins,6 mins,22 mins,12 mins,5 mins,6 mins,2.0 km,1.6 km,1.9 km,1.6 km,1.6 km
t489,8 mins,9 mins,14 mins,57 mins,18 mins,15 mins,15 mins,4.5 km,4.1 km,5.0 km,4.6 km,5.3 km
t490,7 mins,3 mins,11 mins,56 mins,25 mins,15 mins,12 mins,4.4 km,4.0 km,4.2 km,4.5 km,5.0 km
t491,7 mins,2 mins,17 mins,1 hour 8 mins,15 mins,17 mins,17 mins,5.7 km,4.9 km,5.4 km,5.2 km,5.7 km
t492,7 mins,6 mins,9 mins,17 mins,10 mins,5 mins,10 mins,2.6 km,1.3 km,1.8 km,1.5 km,2.6 km
t493,9 mins,1 min,15 mins,1 hour 3 mins,21 mins,15 mins,17 mins,5.0 km,4.5 km,7.0 km,4.5 km,5.5 km
t494,6 mins,6 mins,15 mins,1 hour 26 mins,24 mins,24 mins,14 mins,6.9 km,6.1 km,6.8 km,6.6 km,6.4 km
t495,7 mins,12 mins,18 mins,1 hour 41 mins,21 mins,26 mins,21 mins,7.4 km,7.4 km,7.8 km,8.1 km,8.4 km
t496,7 mins,8 mins,13 mins,50 mins,14 mins,14 mins,13 mins,3.8 km,3.6 km,4.0 km,3.9 km,4.5 km
t497,8 mins,10 mins,11 mins,47 mins,20 mins,12 mins,10 mins,4.6 km,3.4 km,3.9 km,3.6 km,3.8 km
t498,7 mins,4 mins,12 mins,50 mins,23 mins,14 mins,14 mins,3.6 km,3.6 km,4.9 km,3.9 km,4.5 km
t499,6 mins,5 mins,8 mins,35 mins,17 mins,9 mins,8 mins,2.7 km,2.6 km,4.6 km,2.8 km,2.6 km
t500,9 mins,1 min,11 mins,41 mins,24 mins,9 mins,13 mins,4.0 km,3.0 km,4.8 km,3.0 km,4.5 km
t501,6 mins,8 mins,11 mins,45 mins,17 mins,12 mins,11 mins,3.5 km,3.2 km,3.6 km,3.3 km,3.4 km
t502,6 mins,9 mins,21 mins,1 hour 34 mins,25 mins,22 mins,16 mins,8.3 km,6.9 km,8.4 km,6.8 km,6.9 km
t503,7 mins,3 mins,15 mins,1 hour 0 mins,24 mins,16 mins,14 mins,4.8 km,4.3 km,6.2 km,4.5 km,4.8 km
t504,9 mins,7 mins,12 mins,50 mins,27 mins,11 mins,16 mins,4.1 km,3.7 km,5.3 km,3.7 km,5.5 km
t505,7 mins,6 mins,13 mins,54 mins,22 mins,14 mins,11 mins,4.6 km,3.9 km,4.1 km,4.3 km,4.2 km
t506,6 mins,8 mins,11 mins,41 mins,25 mins,11 mins,10 mins,3.2 km,2.9 km,4.0 km,3.1 km,3.0 km
t507,8 mins,5 mins,9 mins,12 mins,10 mins,3 mins,4 mins,2.1 km,0.9 km,1.1 km,0.9 km,1.0 km
t508,8 mins,4 mins,7 mins,24 mins,11 mins,7 mins,6 mins,1.7 km,1.7 km,2.4 km,1.9 km,1.7 km
t509,3 mins,1 min,10 mins,42 mins,27 mins,10 mins,9 mins,3.7 km,3.0 km,5.7 km,3.1 km,3.0 km
t510,7 mins,1 min,15 mins,51 mins,30 mins,14 mins,15 mins,5.3 km,3.6 km,6.3 km,4.0 km,5.3 km
t511,9 mins,6 mins,18 mins,1 hour 13 mins,28 mins,21 mins,17 mins,5.8 km,5.3 km,8.2 km,6.3 km,5.8 km
t512,3 mins,9 mins,15 mins,1 hour 18 mins,31 mins,19 mins,16 mins,5.1 km,5.6 km,7.5 km,5.6 km,5.6 km
t513,3 mins,11 mins,5 mins,10 mins,8 mins,7 mins,3 mins,1.5 km,0.7 km,0.9 km,0.7 km,1.0 km
t514,3 mins,7 mins,16 mins,48 mins,18 mins,12 mins,15 mins,5.2 km,3.5 km,4.8 km,3.6 km,4.0 km
t515,3 mins,8 mins,4 mins,16 mins,10 mins,5 mins,5 mins,1.1 km,1.2 km,1.3 km,1.4 km,1.6 km
t516,3 mins,3 mins,15 mins,47 mins,32 mins,13 mins,16 mins,5.4 km,3.4 km,6.6 km,3.7 km,5.7 km
t517,7 mins,6 mins,15 mins,1 hour 3 mins,22 mins,17 mins,13 mins,5.0 km,4.5 km,4.6 km,5.1 km,4.5 km
t518,7 mins,5 mins,11 mins,43 mins,20 mins,12 mins,13 mins,3.2 km,3.1 km,4.6 km,3.6 km,3.6 km
t519,7 mins,2 mins,20 mins,1 hour 31 mins,31 mins,24 mins,19 mins,7.4 km,6.6 km,9.2 km,7.4 km,6.6 km
t520,9 mins,9 mins,11 mins,45 mins,22 mins,14 mins,11 mins,3.9 km,3.3 km,3.8 km,4.0 km,3.7 km
t521,9 mins,6 mins,13 mins,56 mins,23 mins,15 mins,13 mins,4.4 km,4.0 km,4.8 km,4.4 km,4.1 km
t522,1 min,4 mins,5 mins,16 mins,9 mins,4 mins,3 mins,1.6 km,1.1 km,1.1 km,1.1 km,1.1 km
t523,1 min,6 mins,9 mins,32 mins,15 mins,8 mins,8 mins,2.8 km,2.3 km,2.5 km,2.4 km,2.6 km
t524,7 mins,4 mins,13 mins,57 mins,34 mins,14 mins,12 mins,4.9 km,4.2 km,5.6 km,4.4 km,5.7 km
t525,9 mins,2 mins,14 mins,50 mins,22 mins,14 mins,12 mins,4.8 km,3.6 km,5.2 km,4.0 km,3.9 km
t526,1 min,6 mins,21 mins,1 hour 51 mins,37 mins,28 mins,21 mins,8.6 km,8.0 km,8.7 km,8.6 km,8.0 km
t527,7 mins,6 mins,14 mins,40 mins,20 mins,11 mins,13 mins,4.4 km,2.9 km,2.9 km,3.4 km,4.2 km
t528,9 mins,5 mins,13 mins,52 mins,25 mins,15 mins,15 mins,4.3 km,3.7 km,4.1 km,4.0 km,5.0 km
t529,3 mins,8 mins,6 mins,21 mins,11 mins,6 mins,6 mins,1.5 km,1.6 km,1.6 km,1.6 km,1.9 km
t530,4 mins,5 mins,16 mins,1 hour 14 mins,36 mins,20 mins,17 mins,7.0 km,5.3 km,7.1 km,5.7 km,5.7 km
t531,2 mins,4 mins,7 mins,28 mins,13 mins,8 mins,7 mins,2.0 km,2.0 km,2.1 km,2.0 km,2.1 km
t532,5 mins,1 min,9 mins,43 mins,19 mins,12 mins,11 mins,2.9 km,3.1 km,3.7 km,3.3 km,3.3 km
t533,9 mins,6 mins,14 mins,1 hour 2 mins,29 mins,17 mins,14 mins,4.7 km,4.4 km,7.4 km,5.2 km,5.2 km
t534,8 mins,7 mins,7 mins,37 mins,12 mins,11 mins,10 mins,2.4 km,2.6 km,2.9 km,3.1 km,3.0 km
t535,9 mins,3 mins,9 mins,34 mins,14 mins,9 mins,7 mins,2.6 km,2.4 km,2.6 km,2.5 km,2.4 km
t536,7 mins,6 mins,6 mins,20 mins,9 mins,7 mins,8 mins,1.4 km,1.4 km,1.5 km,1.6 km,1.9 km
t537,9 mins,7 mins,10 mins,1 hour 1 min,23 mins,15 mins,11 mins,4.3 km,4.4 km,5.1 km,4.3 km,4.3 km
t538,7 mins,4 mins,9 mins,37 mins,22 mins,13 mins,12 mins,2.5 km,2.7 km,4.1 km,3.9 km,3.5 km
t539,7 mins,4 mins,16 mins,1 hour 7 mins,33 mins,18 mins,16 mins,5.3 km,4.9 km,7.3 km,5.4 km,5.4 km
t540,5 mins,8 mins,12 mins,1 hour 4 mins,25 mins,16 mins,15 mins,4.1 km,4.6 km,6.1 km,4.5 km,5.0 km
t541,5 mins,8 mins,11 mins,34 mins,12 mins,9 mins,8 mins,3.5 km,2.5 km,2.7 km,2.6 km,2.9 km
t542,9 mins,5 mins,18 mins,1 hour 11 mins,23 mins,19 mins,17 mins,6.2 km,5.1 km,7.0 km,5.9 km,6.2 km
t543,7 mins,7 mins,14 mins,48 mins,19 mins,14 mins,14 mins,4.5 km,3.5 km,5.5 km,4.1 km,4.6 km
t544,9 mins,7 mins,5 mins,15 mins,7 mins,4 mins,3 mins,1.5 km,1.0 km,1.2 km,1.0 km,1.0 km
t545,9 mins,5 mins,3 mins,19 mins,9 mins,5 mins,4 mins,0.8 km,1.3 km,1.5 km,1.3 km,1.3 km
t546,9 mins,5 mins,17 mins,1 hour 11 mins,31 mins,19 mins,16 mins,6.0 km,5.1 km,8.5 km,5.9 km,5.8 km
t547,5 mins,1 min,13 mins,50 mins,20 mins,12 mins,13 mins,3.8 km,3.6 km,5.3 km,3.9 km,3.6 km
t548,8 mins,3 mins,17 mins,1 hour 17 mins,30 mins,20 mins,17 mins,6.2 km,5.5 km,6.4 km,5.7 km,6.7 km
t549,9 mins,4 mins,11 mins,45 mins,25 mins,12 mins,10 mins,3.4 km,3.2 km,3.7 km,3.4 km,3.4 km
t550,7 mins,1 min,14 mins,57 mins,26 mins,14 mins,12 mins,4.9 km,4.2 km,7.0 km,4.4 km,4.3 km
t551,9 mins,13 mins,13 mins,43 mins,19 mins,14 mins,12 mins,3.7 km,3.1 km,4.6 km,3.7 km,4.0 km
t552,9 mins,4 mins,16 mins,1 hour 8 mins,27 mins,17 mins,14 mins,5.1 km,4.9 km,5.1 km,4.7 km,5.0 km
t553,6 mins,8 mins,13 mins,53 mins,26 mins,14 mins,13 mins,4.3 km,3.8 km,6.7 km,4.0 km,4.2 km
t554,9 mins,6 mins,8 mins,28 mins,17 mins,9 mins,9 mins,2.2 km,2.0 km,2.5 km,2.5 km,2.9 km
t555,9 mins,3 mins,7 mins,24 mins,17 mins,6 mins,6 mins,2.0 km,1.7 km,2.3 km,1.8 km,1.8 km
t556,5 mins,9 mins,13 mins,46 mins,32 mins,11 mins,14 mins,4.6 km,3.3 km,6.0 km,3.3 km,6.0 km
t557,5 mins,8 mins,11 mins,22 mins,13 mins,6 mins,7 mins,2.9 km,1.6 km,1.6 km,1.6 km,1.9 km
t558,8 mins,3 mins,15 mins,1 hour 2 mins,30 mins,17 mins,13 mins,5.2 km,4.4 km,7.4 km,4.9 km,5.1 km
t559,9 mins,5 mins,12 mins,54 mins,23 mins,13 mins,12 mins,4.3 km,4.0 km,4.6 km,4.0 km,4.1 km
t560,9 mins,4 mins,13 mins,1 hour 5 mins,29 mins,17 mins,13 mins,5.3 km,4.6 km,6.3 km,4.9 km,5.0 km
t561,7 mins,5 mins,20 mins,1 hour 41 mins,33 mins,25 mins,20 mins,8.4 km,7.3 km,7.4 km,7.5 km,7.4 km
t562,5 mins,4 mins,12 mins,42 mins,29 mins,10 mins,10 mins,3.7 km,3.1 km,3.7 km,3.2 km,3.3 km
t563,9 mins,7 mins,13 mins,51 mins,22 mins,13 mins,12 mins,4.1 km,3.7 km,5.3 km,3.7 km,4.0 km
t564,2 mins,2 mins,18 mins,1 hour 25 mins,36 mins,21 mins,18 mins,6.0 km,6.1 km,6.6 km,6.2 km,6.1 km
t565,2 mins,8 mins,14 mins,1 hour 12 mins,28 mins,18 mins,15 mins,4.7 km,5.1 km,5.5 km,5.2 km,5.2 km
t566,7 mins,3 mins,7 mins,19 mins,10 mins,6 mins,5 mins,1.4 km,1.4 km,1.5 km,1.5 km,1.5 km
t567,8 mins,1 min,20 mins,1 hour 22 mins,23 mins,22 mins,21 mins,6.7 km,5.9 km,6.3 km,6.6 km,7.1 km
t568,2 mins,10 mins,13 mins,51 mins,10 mins,15 mins,15 mins,4.8 km,3.7 km,3.4 km,4.5 km,4.4 km
t569,8 mins,7 mins,12 mins,49 mins,22 mins,15 mins,13 mins,4.2 km,3.5 km,3.8 km,3.9 km,5.4 km
t570,2 mins,3 mins,10 mins,30 mins,13 mins,9 mins,9 mins,2.9 km,2.2 km,3.0 km,2.7 km,2.5 km
t571,8 mins,2 mins,19 mins,1 hour 15 mins,28 mins,20 mins,20 mins,6.4 km,5.5 km,6.6 km,6.2 km,6.4 km
t572,8 mins,6 mins,21 mins,1 hour 27 mins,28 mins,22 mins,20 mins,6.9 km,6.4 km,9.2 km,6.7 km,6.5 km
t573,8 mins,6 mins,23 mins,1 hour 29 mins,25 mins,25 mins,26 mins,7.8 km,6.5 km,7.1 km,6.8 km,8.1 km
t574,8 mins,5 mins,16 mins,58 mins,21 mins,17 mins,14 mins,5.3 km,4.2 km,5.5 km,5.0 km,4.9 km
t575,8 mins,6 mins,19 mins,1 hour 19 mins,36 mins,21 mins,20 mins,5.9 km,5.7 km,6.5 km,6.2 km,6.1 km
t576,9 mins,3 mins,14 mins,1 hour 8 mins,30 mins,18 mins,14 mins,4.5 km,4.9 km,8.1 km,5.2 km,6.6 km
t577,9 mins,7 mins,19 mins,1 hour 22 mins,21 mins,20 mins,18 mins,5.9 km,6.0 km,7.4 km,6.0 km,7.5 km
t578,8 mins,3 mins,18 mins,1 hour 1 min,21 mins,16 mins,15 mins,5.6 km,4.4 km,4.9 km,4.7 km,4.9 km
t579,8 mins,10 mins,21 mins,1 hour 21 mins,23 mins,21 mins,20 mins,7.1 km,5.9 km,6.1 km,6.0 km,6.6 km
t580,9 mins,9 mins,26 mins,2 hours 2 mins,26 mins,30 mins,22 mins,8.8 km,8.9 km,9.6 km,8.9 km,10.1 km
t581,8 mins,3 mins,9 mins,30 mins,17 mins,10 mins,9 mins,3.0 km,2.1 km,2.4 km,2.8 km,2.7 km
t582,8 mins,4 mins,7 mins,19 mins,11 mins,8 mins,7 mins,2.1 km,1.3 km,1.3 km,2.1 km,2.0 km
t583,4 mins,8 mins,7 mins,36 mins,17 mins,9 mins,8 mins,2.5 km,2.6 km,2.9 km,2.5 km,2.7 km
t584,6 mins,6 mins,5 mins,32 mins,18 mins,9 mins,8 mins,1.6 km,2.3 km,2.7 km,2.4 km,2.6 km
t585,4 mins,6 mins,18 mins,1 hour 32 mins,23 mins,23 mins,18 mins,7.5 km,6.7 km,7.9 km,6.7 km,6.9 km
t586,4 mins,6 mins,11 mins,43 mins,18 mins,11 mins,9 mins,4.1 km,3.1 km,4.3 km,3.4 km,3.4 km
t587,3 mins,5 mins,13 mins,52 mins,18 mins,14 mins,13 mins,4.8 km,3.8 km,7.7 km,4.3 km,4.2 km
t588,4 mins,6 mins,15 mins,1 hour 12 mins,29 mins,20 mins,15 mins,5.5 km,5.2 km,9.0 km,5.2 km,5.2 km
t589,10 mins,8 mins,11 mins,45 mins,16 mins,13 mins,11 mins,3.9 km,3.3 km,4.9 km,4.0 km,3.8 km
t590,4 mins,5 mins,14 mins,49 mins,24 mins,12 mins,13 mins,4.7 km,3.5 km,7.4 km,3.5 km,4.9 km
t591,10 mins,7 mins,14 mins,56 mins,21 mins,15 mins,12 mins,5.1 km,4.1 km,6.2 km,4.2 km,4.5 km
t592,6 mins,6 mins,12 mins,1 hour 0 mins,17 mins,17 mins,20 mins,4.5 km,4.4 km,6.2 km,4.9 km,6.8 km
t593,8 mins,7 mins,14 mins,1 hour 10 mins,29 mins,20 mins,16 mins,4.6 km,5.0 km,7.3 km,6.1 km,5.4 km
t594,6 mins,3 mins,13 mins,1 hour 13 mins,16 mins,19 mins,18 mins,5.3 km,5.2 km,5.7 km,5.2 km,6.2 km
t595,8 mins,1 min,7 mins,25 mins,10 mins,5 mins,5 mins,2.5 km,1.8 km,2.0 km,1.8 km,1.8 km
t596,6 mins,7 mins,4 mins,27 mins,16 mins,7 mins,6 mins,1.2 km,2.0 km,2.9 km,2.4 km,2.4 km
t597,8 mins,3 mins,8 mins,13 mins,13 mins,3 mins,2 mins,3.0 km,0.9 km,0.9 km,0.9 km,0.9 km
t598,10 mins,12 mins,21 mins,2 hours 1 min,28 mins,30 mins,21 mins,9.2 km,8.8 km,11.2 km,9.1 km,10.2 km
t599,6 mins,5 mins,8 mins,38 mins,18 mins,10 mins,7 mins,2.7 km,2.7 km,3.3 km,2.7 km,2.9 km
t600,6 mins,2 mins,14 mins,49 mins,17 mins,14 mins,12 mins,4.5 km,3.6 km,4.0 km,3.9 km,4.0 km
t601,3 mins,6 mins,15 mins,1 hour 20 mins,15 mins,20 mins,17 mins,5.7 km,5.8 km,6.5 km,5.8 km,6.3 km
t602,6 mins,3 mins,10 mins,45 mins,13 mins,11 mins,10 mins,3.6 km,3.3 km,3.2 km,3.3 km,3.4 km
t603,6 mins,6 mins,11 mins,52 mins,19 mins,14 mins,16 mins,4.2 km,3.7 km,4.6 km,4.0 km,5.0 km
t604,10 mins,1 min,14 mins,1 hour 5 mins,30 mins,17 mins,14 mins,5.6 km,4.7 km,6.0 km,5.0 km,5.4 km
t605,4 mins,8 mins,8 mins,32 mins,15 mins,9 mins,8 mins,2.8 km,2.3 km,3.3 km,2.4 km,2.3 km
t606,4 mins,2 mins,16 mins,1 hour 25 mins,24 mins,21 mins,16 mins,6.6 km,6.1 km,7.5 km,6.1 km,6.4 km
t607,6 mins,5 mins,13 mins,1 hour 0 mins,23 mins,15 mins,12 mins,4.9 km,4.3 km,6.2 km,4.5 km,4.5 km
t608,10 mins,4 mins,4 mins,19 mins,13 mins,5 mins,4 mins,1.3 km,1.4 km,1.4 km,1.4 km,1.4 km
t609,6 mins,4 mins,11 mins,58 mins,21 mins,17 mins,12 mins,3.9 km,4.1 km,4.6 km,4.7 km,5.3 km
t610,3 mins,8 mins,7 mins,37 mins,17 mins,11 mins,12 mins,2.3 km,2.7 km,4.3 km,3.5 km,4.0 km
t611,4 mins,2 mins,1 min,4 mins,4 mins,2 mins,1 min,0.3 km,0.3 km,0.3 km,0.3 km,0.3 km
t612,3 mins,7 mins,9 mins,31 mins,14 mins,9 mins,12 mins,2.6 km,2.2 km,4.4 km,2.8 km,3.9 km
t613,1 min,2 mins,13 mins,46 mins,22 mins,12 mins,14 mins,4.4 km,3.4 km,4.0 km,3.6 km,4.5 km
t614,7 mins,8 mins,10 mins,44 mins,22 mins,12 mins,10 mins,3.4 km,3.2 km,3.6 km,3.5 km,3.4 km
t615,5 mins,4 mins,8 mins,36 mins,13 mins,9 mins,8 mins,2.6 km,2.6 km,2.7 km,2.7 km,2.6 km
t616,5 mins,5 mins,17 mins,1 hour 0 mins,20 mins,15 mins,14 mins,6.1 km,4.3 km,4.3 km,4.4 km,4.7 km
t617,5 mins,6 mins,10 mins,48 mins,19 mins,12 mins,11 mins,3.6 km,3.5 km,3.9 km,3.6 km,3.8 km
t618,4 mins,4 mins,7 mins,25 mins,15 mins,7 mins,7 mins,2.4 km,1.8 km,2.7 km,1.9 km,2.4 km
t619,1 min,8 mins,14 mins,51 mins,18 mins,13 mins,12 mins,4.9 km,3.7 km,3.7 km,4.0 km,3.8 km
t620,2 mins,8 mins,16 mins,1 hour 12 mins,25 mins,20 mins,15 mins,5.4 km,5.3 km,8.6 km,6.1 km,7.0 km
t621,7 mins,6 mins,2 mins,6 mins,6 mins,2 mins,1 min,0.6 km,0.4 km,0.4 km,0.4 km,0.4 km
t622,4 mins,5 mins,7 mins,32 mins,11 mins,8 mins,8 mins,2.5 km,2.3 km,2.8 km,2.3 km,2.8 km
t623,7 mins,8 mins,18 mins,1 hour 32 mins,36 mins,25 mins,18 mins,6.1 km,6.7 km,7.9 km,7.1 km,8.0 km
t624,4 mins,5 mins,18 mins,1 hour 26 mins,25 mins,23 mins,17 mins,9.5 km,6.2 km,7.6 km,6.5 km,9.3 km
t625,7 mins,1 min,18 mins,1 hour 27 mins,36 mins,22 mins,17 mins,6.9 km,6.3 km,9.8 km,6.9 km,7.9 km
t626,4 mins,4 mins,15 mins,1 hour 6 mins,23 mins,16 mins,14 mins,5.1 km,4.8 km,6.4 km,5.2 km,6.1 km
t627,4 mins,3 mins,3 mins,15 mins,13 mins,4 mins,3 mins,1.1 km,1.1 km,1.8 km,1.1 km,1.2 km
t628,1 min,8 mins,18 mins,1 hour 41 mins,39 mins,25 mins,20 mins,7.1 km,7.3 km,8.1 km,7.3 km,7.6 km
t629,1 min,6 mins,14 mins,1 hour 3 mins,25 mins,15 mins,14 mins,4.9 km,4.5 km,5.2 km,4.5 km,4.9 km
t630,2 mins,6 mins,15 mins,1 hour 14 mins,22 mins,21 mins,17 mins,5.6 km,5.4 km,8.4 km,6.4 km,7.4 km
t631,7 mins,11 mins,13 mins,42 mins,17 mins,11 mins,9 mins,3.7 km,3.0 km,3.4 km,3.3 km,3.8 km
t632,2 mins,1 min,14 mins,1 hour 0 mins,16 mins,17 mins,14 mins,5.0 km,4.4 km,4.8 km,5.3 km,5.9 km
t633,1 min,6 mins,13 mins,56 mins,23 mins,13 mins,14 mins,4.5 km,4.1 km,5.2 km,4.3 km,6.2 km
t634,1 min,5 mins,22 mins,2 hours 4 mins,38 mins,30 mins,23 mins,9.3 km,9.0 km,11.0 km,9.2 km,9.5 km
t635,3 mins,8 mins,5 mins,16 mins,13 mins,6 mins,5 mins,1.5 km,1.1 km,1.1 km,1.6 km,1.7 km
t636,3 mins,6 mins,13 mins,43 mins,20 mins,14 mins,13 mins,3.6 km,3.1 km,4.2 km,4.1 km,4.0 km
t637,3 mins,5 mins,17 mins,1 hour 7 mins,29 mins,20 mins,15 mins,6.0 km,4.8 km,7.3 km,5.6 km,5.3 km
t638,5 mins,3 mins,8 mins,30 mins,12 mins,8 mins,7 mins,2.3 km,2.2 km,3.9 km,2.2 km,2.2 km
t639,3 mins,7 mins,18 mins,56 mins,24 mins,17 mins,21 mins,5.7 km,4.1 km,5.3 km,5.1 km,5.9 km
t640,3 mins,2 mins,17 mins,58 mins,19 mins,16 mins,16 mins,5.3 km,4.2 km,5.7 km,4.9 km,4.9 km
t641,3 mins,6 mins,15 mins,1 hour 9 mins,29 mins,19 mins,14 mins,5.4 km,5.0 km,6.0 km,5.6 km,5.6 km
t642,5 mins,4 mins,20 mins,1 hour 23 mins,19 mins,20 mins,17 mins,6.6 km,6.0 km,7.2 km,6.2 km,6.1 km
t643,5 mins,6 mins,21 mins,1 hour 31 mins,21 mins,23 mins,18 mins,7.7 km,6.6 km,7.7 km,7.1 km,6.6 km
t644,3 mins,4 mins,18 mins,1 hour 22 mins,27 mins,23 mins,17 mins,6.4 km,5.9 km,8.8 km,6.4 km,6.2 km
t645,3 mins,4 mins,18 mins,1 hour 13 mins,20 mins,19 mins,18 mins,6.2 km,5.3 km,6.9 km,5.9 km,5.8 km
t646,3 mins,9 mins,5 mins,17 mins,13 mins,6 mins,5 mins,1.6 km,1.2 km,1.5 km,1.6 km,1.6 km
t647,3 mins,8 mins,11 mins,52 mins,24 mins,14 mins,12 mins,3.6 km,3.8 km,5.1 km,4.0 km,3.9 km
t648,3 mins,3 mins,4 mins,11 mins,8 mins,3 mins,3 mins,1.2 km,0.8 km,1.1 km,0.8 km,0.8 km
t649,5 mins,8 mins,22 mins,1 hour 29 mins,25 mins,23 mins,18 mins,7.5 km,6.4 km,7.8 km,6.6 km,6.3 km
t650,3 mins,5 mins,13 mins,39 mins,21 mins,12 mins,15 mins,4.0 km,2.8 km,5.6 km,3.6 km,4.1 km
t651,8 mins,8 mins,7 mins,26 mins,13 mins,7 mins,5 mins,2.4 km,1.9 km,2.0 km,1.9 km,1.9 km
t652,5 mins,12 mins,5 mins,11 mins,11 mins,3 mins,2 mins,1.5 km,0.8 km,0.8 km,0.7 km,0.7 km
t653,8 mins,10 mins,10 mins,41 mins,18 mins,11 mins,10 mins,3.2 km,3.0 km,4.0 km,3.2 km,3.1 km
t654,11 mins,6 mins,13 mins,58 mins,26 mins,14 mins,13 mins,3.6 km,4.3 km,5.4 km,4.2 km,4.2 km
t655,7 mins,5 mins,12 mins,58 mins,22 mins,15 mins,12 mins,4.0 km,4.2 km,4.4 km,4.7 km,4.2 km
t656,6 mins,1 min,14 mins,55 mins,21 mins,16 mins,14 mins,4.3 km,4.0 km,4.5 km,4.5 km,4.6 km
t657,4 mins,6 mins,14 mins,1 hour 9 mins,30 mins,18 mins,14 mins,5.1 km,4.9 km,6.1 km,5.3 km,5.2 km
t658,11 mins,4 mins,10 mins,43 mins,22 mins,11 mins,10 mins,3.7 km,3.1 km,3.4 km,3.1 km,3.4 km
t659,3 mins,1 min,7 mins,23 mins,13 mins,7 mins,6 mins,1.8 km,1.7 km,2.1 km,2.0 km,1.7 km
t660,5 mins,4 mins,10 mins,32 mins,12 mins,9 mins,11 mins,2.9 km,2.3 km,4.0 km,2.9 km,3.9 km
t661,8 mins,8 mins,17 mins,1 hour 34 mins,22 mins,24 mins,20 mins,5.9 km,6.9 km,7.9 km,7.1 km,6.9 km
t662,8 mins,3 mins,5 mins,17 mins,8 mins,4 mins,3 mins,1.7 km,1.3 km,1.4 km,1.3 km,1.3 km
t663,8 mins,8 mins,11 mins,53 mins,24 mins,14 mins,12 mins,3.4 km,3.8 km,5.1 km,4.0 km,4.0 km
t664,4 mins,7 mins,15 mins,1 hour 4 mins,21 mins,15 mins,14 mins,5.4 km,4.7 km,5.2 km,4.8 km,4.7 km
t665,8 mins,2 mins,15 mins,1 hour 7 mins,29 mins,17 mins,14 mins,5.4 km,4.9 km,8.1 km,5.3 km,5.4 km
t666,6 mins,6 mins,11 mins,46 mins,22 mins,13 mins,11 mins,3.4 km,3.3 km,3.6 km,3.7 km,3.4 km
t667,2 mins,4 mins,22 mins,1 hour 45 mins,20 mins,27 mins,25 mins,7.1 km,7.6 km,8.4 km,7.7 km,8.9 km
t668,7 mins,4 mins,10 mins,43 mins,17 mins,11 mins,10 mins,3.5 km,3.1 km,4.0 km,3.5 km,3.4 km
t669,5 mins,5 mins,17 mins,1 hour 3 mins,23 mins,18 mins,13 mins,5.8 km,4.5 km,6.9 km,5.2 km,4.9 km
t670,3 mins,8 mins,14 mins,1 hour 3 mins,30 mins,16 mins,12 mins,4.9 km,4.6 km,5.7 km,4.8 km,4.8 km
t671,7 mins,6 mins,14 mins,1 hour 10 mins,24 mins,18 mins,13 mins,4.8 km,5.1 km,5.5 km,5.6 km,5.1 km
t672,4 mins,2 mins,9 mins,35 mins,14 mins,11 mins,9 mins,2.9 km,2.6 km,2.9 km,3.1 km,3.4 km
t673,5 mins,3 mins,18 mins,1 hour 34 mins,24 mins,25 mins,16 mins,7.3 km,6.8 km,9.8 km,7.1 km,7.1 km
t674,3 mins,8 mins,8 mins,28 mins,15 mins,8 mins,8 mins,2.2 km,2.0 km,4.2 km,2.0 km,2.3 km
t675,6 mins,14 mins,16 mins,1 hour 3 mins,20 mins,17 mins,16 mins,4.9 km,4.6 km,5.4 km,5.0 km,5.3 km
t676,5 mins,1 min,24 mins,1 hour 53 mins,27 mins,29 mins,24 mins,9.0 km,8.2 km,9.2 km,8.5 km,9.9 km
t677,5 mins,6 mins,18 mins,1 hour 18 mins,24 mins,22 mins,15 mins,6.2 km,5.6 km,8.6 km,5.8 km,5.5 km
t678,11 mins,6 mins,17 mins,53 mins,16 mins,14 mins,14 mins,5.6 km,3.9 km,5.2 km,4.0 km,4.9 km
t679,4 mins,2 mins,5 mins,18 mins,11 mins,4 mins,4 mins,1.5 km,1.3 km,1.3 km,1.3 km,1.4 km
t680,11 mins,6 mins,16 mins,1 hour 15 mins,22 mins,21 mins,20 mins,5.2 km,5.5 km,7.5 km,5.9 km,7.9 km
t681,7 mins,8 mins,15 mins,32 mins,14 mins,10 mins,10 mins,4.0 km,2.3 km,4.6 km,2.9 km,3.5 km
t682,8 mins,12 mins,21 mins,1 hour 45 mins,28 mins,31 mins,18 mins,8.4 km,7.6 km,10.9 km,9.6 km,9.3 km
t683,4 mins,7 mins,13 mins,1 hour 1 min,23 mins,16 mins,15 mins,4.5 km,4.5 km,7.9 km,5.0 km,4.8 km
t684,3 mins,7 mins,20 mins,1 hour 30 mins,30 mins,24 mins,22 mins,6.8 km,6.6 km,11.0 km,7.6 km,7.3 km
