css_o,css_d,distance,duration
CS21,CS97,3.0 km,10 mins
CS21,CS98,3.8 km,13 mins
CS21,CS99,3.7 km,13 mins
CS22,CS0,2.8 km,9 mins
CS22,CS1,5.4 km,12 mins
CS22,CS2,3.7 km,10 mins
CS22,CS3,6.3 km,15 mins
CS22,CS4,4.4 km,13 mins
CS22,CS5,2.1 km,7 mins
CS22,CS6,3.0 km,8 mins
CS22,CS7,3.5 km,10 mins
CS22,CS8,4.6 km,11 mins
CS22,CS9,5.0 km,12 mins
CS22,CS10,3.1 km,8 mins
CS22,CS11,6.4 km,17 mins
CS22,CS12,7.3 km,16 mins
CS22,CS13,6.2 km,14 mins
CS22,CS14,7.8 km,17 mins
CS22,CS15,7.2 km,17 mins
CS22,CS16,2.7 km,10 mins
CS22,CS17,1.5 km,5 mins
CS22,CS18,1.5 km,5 mins
CS22,CS19,2.2 km,9 mins
CS22,CS20,0.3 km,2 mins
CS22,CS21,1.4 km,5 mins
CS22,CS23,2.9 km,10 mins
CS22,CS24,2.1 km,8 mins
CS22,CS25,1.4 km,5 mins
CS22,CS26,3.4 km,12 mins
CS22,CS27,2.4 km,9 mins
CS22,CS28,5.9 km,19 mins
CS22,CS29,3.7 km,10 mins
CS22,CS30,4.5 km,14 mins
CS22,CS31,3.0 km,11 mins
CS22,CS32,4.4 km,13 mins
CS22,CS33,5.1 km,16 mins
CS22,CS34,3.5 km,12 mins
CS22,CS35,3.2 km,11 mins
CS22,CS36,4.3 km,12 mins
CS22,CS37,5.6 km,16 mins
CS22,CS38,3.4 km,10 mins
CS22,CS39,4.1 km,14 mins
CS22,CS40,3.9 km,12 mins
CS22,CS41,8.2 km,20 mins
CS22,CS42,7.4 km,18 mins
CS22,CS43,2.7 km,8 mins
CS22,CS44,3.1 km,8 mins
CS22,CS45,1.8 km,6 mins
CS22,CS46,2.9 km,8 mins
CS22,CS47,2.1 km,6 mins
CS22,CS48,2.0 km,6 mins
CS22,CS49,5.0 km,14 mins
CS22,CS50,5.4 km,14 mins
CS22,CS51,5.5 km,13 mins
CS22,CS52,5.1 km,14 mins
CS22,CS53,5.3 km,13 mins
CS22,CS54,4.8 km,14 mins
CS22,CS55,2.6 km,9 mins
CS22,CS56,3.5 km,9 mins
CS22,CS57,3.3 km,12 mins
CS22,CS58,4.7 km,13 mins
CS22,CS59,2.6 km,9 mins
CS22,CS60,2.9 km,10 mins
CS22,CS61,4.1 km,12 mins
CS22,CS62,4.8 km,13 mins
CS22,CS63,6.3 km,14 mins
CS22,CS64,7.3 km,18 mins
CS22,CS65,3.8 km,12 mins
CS22,CS66,4.3 km,14 mins
CS22,CS67,5.5 km,15 mins
CS22,CS68,5.4 km,15 mins
CS22,CS69,3.7 km,11 mins
CS22,CS70,5.6 km,17 mins
CS22,CS71,3.0 km,9 mins
CS22,CS72,4.4 km,14 mins
CS22,CS73,5.5 km,15 mins
CS22,CS74,6.2 km,17 mins
CS22,CS75,5.2 km,15 mins
CS22,CS76,4.4 km,12 mins
CS22,CS77,5.0 km,12 mins
CS22,CS78,5.2 km,13 mins
CS22,CS79,4.7 km,15 mins
CS22,CS80,5.9 km,16 mins
CS22,CS81,4.4 km,14 mins
CS22,CS82,4.9 km,13 mins
CS22,CS83,5.1 km,14 mins
CS22,CS84,5.9 km,17 mins
CS22,CS85,6.4 km,17 mins
CS22,CS86,4.6 km,13 mins
CS22,CS87,6.7 km,17 mins
CS22,CS88,7.5 km,18 mins
CS22,CS89,7.3 km,20 mins
CS22,CS90,6.0 km,14 mins
CS22,CS91,7.7 km,18 mins
CS22,CS92,2.6 km,9 mins
CS22,CS93,1.4 km,5 mins
CS22,CS94,1.5 km,6 mins
CS22,CS95,2.3 km,9 mins
CS22,CS96,3.0 km,9 mins
CS22,CS97,1.3 km,6 mins
CS22,CS98,2.4 km,8 mins
CS22,CS99,2.0 km,9 mins
CS23,CS0,3.8 km,14 mins
CS23,CS1,6.4 km,18 mins
CS23,CS2,4.5 km,15 mins
CS23,CS3,7.3 km,21 mins
CS23,CS4,5.3 km,17 mins
CS23,CS5,3.1 km,11 mins
CS23,CS6,3.9 km,13 mins
CS23,CS7,4.4 km,15 mins
CS23,CS8,5.3 km,16 mins
CS23,CS9,6.0 km,18 mins
CS23,CS10,4.1 km,14 mins
CS23,CS11,4.8 km,14 mins
CS23,CS12,5.1 km,14 mins
CS23,CS13,7.0 km,17 mins
CS23,CS14,8.5 km,19 mins
CS23,CS15,8.0 km,19 mins
CS23,CS16,3.7 km,14 mins
CS23,CS17,2.5 km,10 mins
CS23,CS18,2.5 km,9 mins
CS23,CS19,1.0 km,5 mins
CS23,CS20,2.6 km,9 mins
CS23,CS21,2.0 km,8 mins
CS23,CS22,2.9 km,12 mins
CS23,CS24,0.5 km,3 mins
CS23,CS25,2.0 km,7 mins
CS23,CS26,5.0 km,17 mins
CS23,CS27,4.1 km,13 mins
CS23,CS28,7.3 km,22 mins
CS23,CS29,4.5 km,13 mins
CS23,CS30,5.2 km,17 mins
CS23,CS31,4.3 km,14 mins
CS23,CS32,5.1 km,15 mins
CS23,CS33,6.4 km,20 mins
CS23,CS34,5.2 km,17 mins
CS23,CS35,4.8 km,16 mins
CS23,CS36,5.1 km,14 mins
CS23,CS37,6.6 km,20 mins
CS23,CS38,4.2 km,12 mins
CS23,CS39,5.4 km,17 mins
CS23,CS40,1.9 km,7 mins
CS23,CS41,6.2 km,15 mins
CS23,CS42,5.4 km,13 mins
CS23,CS43,4.7 km,15 mins
CS23,CS44,5.1 km,16 mins
CS23,CS45,3.9 km,13 mins
CS23,CS46,5.0 km,15 mins
CS23,CS47,4.1 km,14 mins
CS23,CS48,4.0 km,13 mins
CS23,CS49,3.0 km,8 mins
CS23,CS50,3.4 km,9 mins
CS23,CS51,5.2 km,16 mins
CS23,CS52,4.5 km,13 mins
CS23,CS53,6.0 km,16 mins
CS23,CS54,3.1 km,9 mins
CS23,CS55,2.8 km,10 mins
CS23,CS56,4.2 km,12 mins
CS23,CS57,2.5 km,9 mins
CS23,CS58,3.0 km,9 mins
CS23,CS59,2.3 km,8 mins
CS23,CS60,2.1 km,7 mins
CS23,CS61,3.7 km,12 mins
CS23,CS62,3.1 km,9 mins
CS23,CS63,8.4 km,22 mins
CS23,CS64,9.4 km,25 mins
CS23,CS65,1.8 km,6 mins
CS23,CS66,2.3 km,8 mins
CS23,CS67,3.7 km,11 mins
CS23,CS68,3.7 km,10 mins
CS23,CS69,1.7 km,6 mins
CS23,CS70,4.4 km,11 mins
CS23,CS71,1.2 km,5 mins
CS23,CS72,2.4 km,8 mins
CS23,CS73,3.8 km,11 mins
CS23,CS74,4.5 km,13 mins
CS23,CS75,3.1 km,9 mins
CS23,CS76,6.4 km,17 mins
CS23,CS77,6.9 km,18 mins
CS23,CS78,7.1 km,19 mins
CS23,CS79,6.3 km,20 mins
CS23,CS80,9.3 km,23 mins
CS23,CS81,6.1 km,19 mins
CS23,CS82,7.5 km,21 mins
CS23,CS83,7.8 km,22 mins
CS23,CS84,7.6 km,22 mins
CS23,CS85,8.0 km,22 mins
CS23,CS86,7.2 km,21 mins
CS23,CS87,9.3 km,25 mins
CS23,CS88,8.2 km,20 mins
CS23,CS89,8.9 km,22 mins
CS23,CS90,6.8 km,17 mins
CS23,CS91,8.4 km,20 mins
CS23,CS92,4.2 km,14 mins
CS23,CS93,3.3 km,11 mins
CS23,CS94,2.4 km,8 mins
CS23,CS95,4.0 km,15 mins
CS23,CS96,4.7 km,17 mins
CS23,CS97,3.0 km,11 mins
CS23,CS98,4.2 km,14 mins
CS23,CS99,3.6 km,13 mins
CS24,CS0,3.2 km,12 mins
CS24,CS1,5.9 km,16 mins
CS24,CS2,4.0 km,12 mins
CS24,CS3,6.8 km,19 mins
CS24,CS4,4.8 km,15 mins
CS24,CS5,2.6 km,9 mins
CS24,CS6,3.4 km,11 mins
CS24,CS7,3.9 km,13 mins
CS24,CS8,4.8 km,14 mins
CS24,CS9,5.5 km,16 mins
CS24,CS10,3.6 km,12 mins
CS24,CS11,4.8 km,12 mins
CS24,CS12,5.1 km,13 mins
CS24,CS13,7.0 km,16 mins
CS24,CS14,8.5 km,18 mins
CS24,CS15,8.0 km,18 mins
CS24,CS16,3.2 km,12 mins
CS24,CS17,2.0 km,7 mins
CS24,CS18,2.0 km,7 mins
CS24,CS19,0.5 km,3 mins
CS24,CS20,2.1 km,7 mins
CS24,CS21,1.5 km,6 mins
CS24,CS22,2.4 km,9 mins
CS24,CS23,0.9 km,3 mins
CS24,CS25,2.0 km,6 mins
CS24,CS26,5.0 km,16 mins
CS24,CS27,4.1 km,12 mins
CS24,CS28,7.3 km,21 mins
CS24,CS29,4.5 km,12 mins
CS24,CS30,5.2 km,15 mins
CS24,CS31,4.3 km,13 mins
CS24,CS32,5.1 km,14 mins
CS24,CS33,6.4 km,19 mins
CS24,CS34,5.1 km,16 mins
CS24,CS35,4.8 km,15 mins
CS24,CS36,5.1 km,13 mins
CS24,CS37,6.6 km,19 mins
CS24,CS38,4.2 km,11 mins
CS24,CS39,5.4 km,16 mins
CS24,CS40,2.1 km,7 mins
CS24,CS41,6.5 km,14 mins
CS24,CS42,6.0 km,13 mins
CS24,CS43,4.2 km,13 mins
CS24,CS44,4.6 km,14 mins
CS24,CS45,3.4 km,11 mins
CS24,CS46,4.5 km,13 mins
CS24,CS47,3.6 km,12 mins
CS24,CS48,3.5 km,11 mins
CS24,CS49,3.6 km,8 mins
CS24,CS50,3.9 km,9 mins
CS24,CS51,5.2 km,15 mins
CS24,CS52,4.5 km,12 mins
CS24,CS53,6.0 km,15 mins
CS24,CS54,3.0 km,8 mins
CS24,CS55,2.8 km,9 mins
CS24,CS56,4.2 km,11 mins
CS24,CS57,2.5 km,8 mins
CS24,CS58,3.0 km,8 mins
CS24,CS59,2.3 km,7 mins
CS24,CS60,2.0 km,6 mins
CS24,CS61,3.7 km,10 mins
CS24,CS62,3.1 km,8 mins
CS24,CS63,7.9 km,19 mins
CS24,CS64,8.9 km,23 mins
CS24,CS65,2.1 km,6 mins
CS24,CS66,2.5 km,8 mins
CS24,CS67,3.7 km,10 mins
CS24,CS68,3.7 km,9 mins
CS24,CS69,2.3 km,6 mins
CS24,CS70,3.8 km,11 mins
CS24,CS71,1.2 km,4 mins
CS24,CS72,2.6 km,8 mins
CS24,CS73,3.8 km,10 mins
CS24,CS74,4.5 km,11 mins
CS24,CS75,3.7 km,9 mins
CS24,CS76,5.9 km,15 mins
CS24,CS77,6.4 km,16 mins
CS24,CS78,6.6 km,16 mins
CS24,CS79,6.3 km,19 mins
CS24,CS80,7.9 km,21 mins
CS24,CS81,6.0 km,18 mins
CS24,CS82,8.4 km,19 mins
CS24,CS83,7.1 km,20 mins
CS24,CS84,7.5 km,21 mins
CS24,CS85,8.0 km,21 mins
CS24,CS86,6.6 km,19 mins
CS24,CS87,8.7 km,23 mins
CS24,CS88,8.2 km,19 mins
CS24,CS89,8.9 km,21 mins
CS24,CS90,6.8 km,16 mins
CS24,CS91,8.4 km,19 mins
CS24,CS92,4.2 km,13 mins
CS24,CS93,2.8 km,9 mins
CS24,CS94,2.4 km,7 mins
CS24,CS95,4.0 km,14 mins
CS24,CS96,5.0 km,15 mins
CS24,CS97,2.9 km,10 mins
CS24,CS98,4.1 km,13 mins
CS24,CS99,3.6 km,12 mins
CS25,CS0,3.9 km,13 mins
CS25,CS1,6.4 km,16 mins
CS25,CS2,4.8 km,14 mins
CS25,CS3,7.3 km,19 mins
CS25,CS4,5.4 km,16 mins
CS25,CS5,3.5 km,10 mins
CS25,CS6,4.0 km,12 mins
CS25,CS7,4.5 km,14 mins
CS25,CS8,5.6 km,15 mins
CS25,CS9,6.0 km,16 mins
CS25,CS10,4.1 km,12 mins
CS25,CS11,5.1 km,14 mins
CS25,CS12,5.4 km,14 mins
CS25,CS13,5.4 km,13 mins
CS25,CS14,6.9 km,15 mins
CS25,CS15,6.4 km,15 mins
CS25,CS16,4.8 km,15 mins
CS25,CS17,3.2 km,11 mins
CS25,CS18,3.2 km,11 mins
CS25,CS19,2.6 km,9 mins
CS25,CS20,1.9 km,7 mins
CS25,CS21,2.8 km,12 mins
CS25,CS22,2.3 km,10 mins
CS25,CS23,2.0 km,7 mins
CS25,CS24,2.1 km,7 mins
CS25,CS26,3.4 km,13 mins
CS25,CS27,2.5 km,9 mins
CS25,CS28,5.7 km,17 mins
CS25,CS29,2.8 km,8 mins
CS25,CS30,3.6 km,12 mins
CS25,CS31,2.7 km,10 mins
CS25,CS32,3.5 km,11 mins
CS25,CS33,4.8 km,15 mins
CS25,CS34,3.6 km,12 mins
CS25,CS35,3.2 km,11 mins
CS25,CS36,3.5 km,10 mins
CS25,CS37,5.0 km,15 mins
CS25,CS38,2.6 km,8 mins
CS25,CS39,3.8 km,13 mins
CS25,CS40,2.7 km,8 mins
CS25,CS41,6.8 km,16 mins
CS25,CS42,6.0 km,16 mins
CS25,CS43,3.7 km,12 mins
CS25,CS44,4.1 km,12 mins
CS25,CS45,2.9 km,9 mins
CS25,CS46,4.0 km,11 mins
CS25,CS47,3.1 km,10 mins
CS25,CS48,3.0 km,10 mins
CS25,CS49,4.6 km,13 mins
CS25,CS50,5.0 km,13 mins
CS25,CS51,4.6 km,11 mins
CS25,CS52,4.2 km,12 mins
CS25,CS53,4.4 km,11 mins
CS25,CS54,3.4 km,10 mins
CS25,CS55,1.7 km,7 mins
CS25,CS56,2.6 km,8 mins
CS25,CS57,1.9 km,8 mins
CS25,CS58,3.3 km,9 mins
CS25,CS59,1.2 km,6 mins
CS25,CS60,1.5 km,6 mins
CS25,CS61,3.2 km,10 mins
CS25,CS62,3.4 km,9 mins
CS25,CS63,7.4 km,18 mins
CS25,CS64,8.3 km,21 mins
CS25,CS65,2.6 km,8 mins
CS25,CS66,3.1 km,10 mins
CS25,CS67,4.1 km,11 mins
CS25,CS68,4.0 km,11 mins
CS25,CS69,3.3 km,10 mins
CS25,CS70,4.4 km,13 mins
CS25,CS71,1.7 km,6 mins
CS25,CS72,3.2 km,10 mins
CS25,CS73,4.1 km,11 mins
CS25,CS74,4.8 km,13 mins
CS25,CS75,4.2 km,12 mins
CS25,CS76,5.4 km,16 mins
CS25,CS77,6.1 km,16 mins
CS25,CS78,6.3 km,16 mins
CS25,CS79,4.8 km,15 mins
CS25,CS80,6.9 km,19 mins
CS25,CS81,4.5 km,14 mins
CS25,CS82,6.0 km,16 mins
CS25,CS83,6.2 km,18 mins
CS25,CS84,6.0 km,18 mins
CS25,CS85,6.4 km,18 mins
CS25,CS86,5.7 km,16 mins
CS25,CS87,7.7 km,21 mins
CS25,CS88,6.6 km,16 mins
CS25,CS89,7.2 km,18 mins
CS25,CS90,5.2 km,12 mins
CS25,CS91,6.8 km,16 mins
CS25,CS92,2.7 km,10 mins
CS25,CS93,2.4 km,9 mins
CS25,CS94,0.8 km,4 mins
CS25,CS95,2.5 km,10 mins
CS25,CS96,3.5 km,13 mins
CS25,CS97,1.4 km,6 mins
CS25,CS98,2.6 km,10 mins
CS25,CS99,2.1 km,9 mins
CS26,CS0,5.2 km,16 mins
CS26,CS1,7.4 km,16 mins
CS26,CS2,6.1 km,17 mins
CS26,CS3,8.8 km,20 mins
CS26,CS4,6.7 km,20 mins
CS26,CS5,4.8 km,14 mins
CS26,CS6,5.3 km,15 mins
CS26,CS7,5.8 km,17 mins
CS26,CS8,6.9 km,18 mins
CS26,CS9,8.1 km,18 mins
CS26,CS10,5.5 km,15 mins
CS26,CS11,6.1 km,17 mins
CS26,CS12,7.0 km,16 mins
CS26,CS13,5.0 km,14 mins
CS26,CS14,7.5 km,17 mins
CS26,CS15,5.7 km,16 mins
CS26,CS16,6.1 km,19 mins
CS26,CS17,4.5 km,15 mins
CS26,CS18,4.5 km,14 mins
CS26,CS19,5.2 km,16 mins
CS26,CS20,3.2 km,11 mins
CS26,CS21,5.0 km,16 mins
CS26,CS22,3.6 km,13 mins
CS26,CS23,4.8 km,15 mins
CS26,CS24,4.8 km,14 mins
CS26,CS25,2.9 km,9 mins
CS26,CS27,1.1 km,4 mins
CS26,CS28,3.9 km,11 mins
CS26,CS29,1.6 km,5 mins
CS26,CS30,3.7 km,10 mins
CS26,CS31,1.5 km,5 mins
CS26,CS32,1.5 km,5 mins
CS26,CS33,2.9 km,7 mins
CS26,CS34,0.6 km,3 mins
CS26,CS35,1.4 km,5 mins
CS26,CS36,2.6 km,9 mins
CS26,CS37,2.6 km,7 mins
CS26,CS38,1.9 km,7 mins
CS26,CS39,1.8 km,5 mins
CS26,CS40,5.3 km,16 mins
CS26,CS41,8.2 km,21 mins
CS26,CS42,8.6 km,21 mins
CS26,CS43,5.0 km,15 mins
CS26,CS44,5.4 km,15 mins
CS26,CS45,4.2 km,13 mins
CS26,CS46,5.3 km,15 mins
CS26,CS47,4.4 km,13 mins
CS26,CS48,4.3 km,13 mins
CS26,CS49,7.4 km,20 mins
CS26,CS50,7.2 km,21 mins
CS26,CS51,5.2 km,13 mins
CS26,CS52,4.8 km,14 mins
CS26,CS53,4.3 km,13 mins
CS26,CS54,4.3 km,14 mins
CS26,CS55,3.3 km,11 mins
CS26,CS56,2.8 km,9 mins
CS26,CS57,4.2 km,14 mins
CS26,CS58,4.3 km,13 mins
CS26,CS59,4.0 km,14 mins
CS26,CS60,4.4 km,14 mins
CS26,CS61,3.4 km,12 mins
CS26,CS62,4.4 km,13 mins
CS26,CS63,7.1 km,16 mins
CS26,CS64,9.1 km,18 mins
CS26,CS65,5.2 km,16 mins
CS26,CS66,5.7 km,18 mins
CS26,CS67,5.5 km,16 mins
CS26,CS68,5.0 km,15 mins
CS26,CS69,6.1 km,18 mins
CS26,CS70,6.5 km,19 mins
CS26,CS71,4.4 km,13 mins
CS26,CS72,5.8 km,18 mins
CS26,CS73,5.1 km,15 mins
CS26,CS74,6.2 km,18 mins
CS26,CS75,6.5 km,19 mins
CS26,CS76,3.1 km,9 mins
CS26,CS77,4.3 km,12 mins
CS26,CS78,4.0 km,10 mins
CS26,CS79,1.8 km,6 mins
CS26,CS80,4.1 km,11 mins
CS26,CS81,1.5 km,5 mins
CS26,CS82,3.1 km,8 mins
CS26,CS83,2.7 km,9 mins
CS26,CS84,3.0 km,8 mins
CS26,CS85,3.4 km,8 mins
CS26,CS86,2.8 km,8 mins
CS26,CS87,4.9 km,13 mins
CS26,CS88,4.3 km,12 mins
CS26,CS89,4.4 km,10 mins
CS26,CS90,4.8 km,13 mins
CS26,CS91,5.5 km,13 mins
CS26,CS92,0.6 km,2 mins
CS26,CS93,3.2 km,11 mins
CS26,CS94,2.8 km,9 mins
CS26,CS95,1.8 km,7 mins
CS26,CS96,1.7 km,6 mins
CS26,CS97,2.0 km,6 mins
CS26,CS98,1.4 km,5 mins
CS26,CS99,1.5 km,6 mins
CS27,CS0,4.4 km,14 mins
CS27,CS1,7.1 km,16 mins
CS27,CS2,5.4 km,15 mins
CS27,CS3,8.6 km,20 mins
CS27,CS4,6.0 km,18 mins
CS27,CS5,4.0 km,12 mins
CS27,CS6,4.6 km,14 mins
CS27,CS7,5.1 km,16 mins
CS27,CS8,6.2 km,17 mins
CS27,CS9,6.6 km,17 mins
CS27,CS10,4.7 km,14 mins
CS27,CS11,5.5 km,16 mins
CS27,CS12,6.4 km,15 mins
CS27,CS13,5.3 km,13 mins
CS27,CS14,6.8 km,15 mins
CS27,CS15,6.3 km,15 mins
CS27,CS16,5.4 km,17 mins
CS27,CS17,3.8 km,13 mins
CS27,CS18,3.7 km,13 mins
CS27,CS19,4.5 km,14 mins
CS27,CS20,2.5 km,9 mins
CS27,CS21,4.2 km,14 mins
CS27,CS22,2.9 km,11 mins
CS27,CS23,4.0 km,13 mins
CS27,CS24,4.0 km,12 mins
CS27,CS25,2.1 km,7 mins
CS27,CS26,1.4 km,5 mins
CS27,CS28,3.7 km,12 mins
CS27,CS29,1.6 km,6 mins
CS27,CS30,3.4 km,11 mins
CS27,CS31,0.9 km,3 mins
CS27,CS32,1.5 km,5 mins
CS27,CS33,3.0 km,9 mins
CS27,CS34,1.5 km,5 mins
CS27,CS35,0.8 km,3 mins
CS27,CS36,2.6 km,9 mins
CS27,CS37,3.6 km,9 mins
CS27,CS38,2.0 km,7 mins
CS27,CS39,2.0 km,7 mins
CS27,CS40,4.4 km,14 mins
CS27,CS41,8.0 km,20 mins
CS27,CS42,8.4 km,20 mins
CS27,CS43,4.3 km,13 mins
CS27,CS44,4.7 km,14 mins
CS27,CS45,3.4 km,11 mins
CS27,CS46,4.6 km,13 mins
CS27,CS47,3.7 km,12 mins
CS27,CS48,3.6 km,12 mins
CS27,CS49,6.6 km,18 mins
CS27,CS50,7.0 km,19 mins
CS27,CS51,4.6 km,11 mins
CS27,CS52,4.2 km,12 mins
CS27,CS53,4.3 km,12 mins
CS27,CS54,4.1 km,13 mins
CS27,CS55,2.2 km,8 mins
CS27,CS56,2.5 km,8 mins
CS27,CS57,4.0 km,13 mins
CS27,CS58,4.0 km,12 mins
CS27,CS59,3.3 km,12 mins
CS27,CS60,4.1 km,12 mins
CS27,CS61,3.1 km,10 mins
CS27,CS62,4.1 km,12 mins
CS27,CS63,6.9 km,16 mins
CS27,CS64,8.9 km,18 mins
CS27,CS65,4.3 km,13 mins
CS27,CS66,4.8 km,15 mins
CS27,CS67,5.2 km,15 mins
CS27,CS68,4.7 km,14 mins
CS27,CS69,5.3 km,16 mins
CS27,CS70,6.2 km,18 mins
CS27,CS71,3.6 km,11 mins
CS27,CS72,4.9 km,15 mins
CS27,CS73,4.9 km,14 mins
CS27,CS74,6.0 km,17 mins
CS27,CS75,5.9 km,17 mins
CS27,CS76,2.9 km,9 mins
CS27,CS77,4.1 km,11 mins
CS27,CS78,3.6 km,11 mins
CS27,CS79,2.7 km,8 mins
CS27,CS80,4.3 km,12 mins
CS27,CS81,2.4 km,7 mins
CS27,CS82,3.3 km,10 mins
CS27,CS83,3.5 km,11 mins
CS27,CS84,3.9 km,11 mins
CS27,CS85,4.3 km,10 mins
CS27,CS86,3.0 km,10 mins
CS27,CS87,5.1 km,14 mins
CS27,CS88,4.8 km,14 mins
CS27,CS89,5.3 km,13 mins
CS27,CS90,5.1 km,13 mins
CS27,CS91,6.4 km,16 mins
CS27,CS92,0.6 km,2 mins
CS27,CS93,2.4 km,9 mins
CS27,CS94,2.0 km,7 mins
CS27,CS95,1.4 km,7 mins
CS27,CS96,1.4 km,6 mins
CS27,CS97,1.3 km,5 mins
CS27,CS98,1.2 km,5 mins
CS27,CS99,0.8 km,4 mins
CS28,CS0,7.9 km,25 mins
CS28,CS1,11.0 km,27 mins
CS28,CS2,8.8 km,26 mins
CS28,CS3,12.4 km,30 mins
CS28,CS4,9.4 km,28 mins
CS28,CS5,7.4 km,23 mins
CS28,CS6,8.0 km,24 mins
CS28,CS7,8.5 km,26 mins
CS28,CS8,9.6 km,27 mins
CS28,CS9,10.0 km,28 mins
CS28,CS10,8.1 km,24 mins
CS28,CS11,6.8 km,17 mins
CS28,CS12,6.2 km,15 mins
CS28,CS13,3.8 km,11 mins
CS28,CS14,4.9 km,15 mins
CS28,CS15,4.2 km,12 mins
CS28,CS16,8.8 km,27 mins
CS28,CS17,7.2 km,23 mins
CS28,CS18,7.2 km,23 mins
CS28,CS19,7.8 km,23 mins
CS28,CS20,5.9 km,19 mins
CS28,CS21,7.7 km,24 mins
CS28,CS22,6.3 km,22 mins
CS28,CS23,7.1 km,21 mins
CS28,CS24,7.3 km,21 mins
CS28,CS25,5.3 km,17 mins
CS28,CS26,3.6 km,11 mins
CS28,CS27,3.8 km,12 mins
CS28,CS29,3.0 km,10 mins
CS28,CS30,2.8 km,9 mins
CS28,CS31,3.0 km,10 mins
CS28,CS32,2.5 km,9 mins
CS28,CS33,1.1 km,5 mins
CS28,CS34,4.0 km,12 mins
CS28,CS35,3.8 km,12 mins
CS28,CS36,2.9 km,10 mins
CS28,CS37,1.2 km,6 mins
CS28,CS38,3.3 km,11 mins
CS28,CS39,2.0 km,7 mins
CS28,CS40,7.6 km,22 mins
CS28,CS41,8.8 km,21 mins
CS28,CS42,9.3 km,21 mins
CS28,CS43,7.7 km,24 mins
CS28,CS44,8.1 km,24 mins
CS28,CS45,6.9 km,21 mins
CS28,CS46,8.0 km,24 mins
CS28,CS47,7.1 km,22 mins
CS28,CS48,7.0 km,22 mins
CS28,CS49,8.3 km,25 mins
CS28,CS50,8.4 km,24 mins
CS28,CS51,4.8 km,13 mins
CS28,CS52,4.6 km,14 mins
CS28,CS53,3.6 km,10 mins
CS28,CS54,5.0 km,16 mins
CS28,CS55,5.1 km,16 mins
CS28,CS56,4.0 km,13 mins
CS28,CS57,5.4 km,18 mins
CS28,CS58,5.2 km,16 mins
CS28,CS59,6.6 km,20 mins
CS28,CS60,6.1 km,19 mins
CS28,CS61,4.5 km,14 mins
CS28,CS62,5.0 km,16 mins
CS28,CS63,10.7 km,26 mins
CS28,CS64,12.7 km,29 mins
CS28,CS65,7.5 km,21 mins
CS28,CS66,7.4 km,23 mins
CS28,CS67,6.7 km,20 mins
CS28,CS68,6.2 km,19 mins
CS28,CS69,8.5 km,24 mins
CS28,CS70,7.7 km,23 mins
CS28,CS71,6.9 km,20 mins
CS28,CS72,7.9 km,23 mins
CS28,CS73,6.4 km,19 mins
CS28,CS74,7.4 km,22 mins
CS28,CS75,7.7 km,23 mins
CS28,CS76,6.4 km,18 mins
CS28,CS77,7.9 km,22 mins
CS28,CS78,6.2 km,18 mins
CS28,CS79,3.4 km,11 mins
CS28,CS80,5.3 km,16 mins
CS28,CS81,3.6 km,11 mins
CS28,CS82,4.3 km,13 mins
CS28,CS83,4.3 km,14 mins
CS28,CS84,3.2 km,10 mins
CS28,CS85,3.0 km,9 mins
CS28,CS86,4.2 km,14 mins
CS28,CS87,6.0 km,15 mins
CS28,CS88,2.1 km,7 mins
CS28,CS89,2.4 km,8 mins
CS28,CS90,3.0 km,10 mins
CS28,CS91,3.0 km,9 mins
CS28,CS92,4.3 km,13 mins
CS28,CS93,5.9 km,19 mins
CS28,CS94,5.3 km,16 mins
CS28,CS95,5.6 km,18 mins
CS28,CS96,5.4 km,17 mins
CS28,CS97,4.5 km,14 mins
CS28,CS98,5.1 km,16 mins
CS28,CS99,4.5 km,15 mins
CS29,CS0,5.7 km,15 mins
CS29,CS1,8.3 km,19 mins
CS29,CS2,6.6 km,16 mins
CS29,CS3,9.2 km,22 mins
CS29,CS4,7.3 km,19 mins
CS29,CS5,5.3 km,13 mins
CS29,CS6,5.9 km,15 mins
CS29,CS7,6.3 km,17 mins
CS29,CS8,7.5 km,18 mins
CS29,CS9,7.9 km,18 mins
CS29,CS10,6.0 km,14 mins
CS29,CS11,4.5 km,13 mins
CS29,CS12,5.3 km,12 mins
CS29,CS13,3.2 km,9 mins
CS29,CS14,5.8 km,12 mins
CS29,CS15,3.9 km,11 mins
CS29,CS16,6.7 km,18 mins
CS29,CS17,5.0 km,14 mins
CS29,CS18,5.0 km,14 mins
CS29,CS19,5.0 km,14 mins
CS29,CS20,3.8 km,10 mins
CS29,CS21,5.4 km,15 mins
CS29,CS22,4.2 km,12 mins
CS29,CS23,4.3 km,12 mins
CS29,CS24,4.5 km,12 mins
CS29,CS25,2.3 km,8 mins
CS29,CS26,3.0 km,8 mins
CS29,CS27,1.6 km,5 mins
CS29,CS28,2.8 km,9 mins
CS29,CS30,1.9 km,6 mins
CS29,CS31,0.9 km,3 mins
CS29,CS32,0.6 km,2 mins
CS29,CS33,2.3 km,7 mins
CS29,CS34,1.6 km,5 mins
CS29,CS35,1.6 km,5 mins
CS29,CS36,1.1 km,4 mins
CS29,CS37,2.5 km,7 mins
CS29,CS38,0.3 km,1 min
CS29,CS39,1.3 km,4 mins
CS29,CS40,4.8 km,13 mins
